timestamp,extranonce,patoshi
1241569385,152,0
1241569756,1209,1
1241570742,1213,1
1241570861,486,0
1241571104,252,0
1241571681,157,0
1241572174,1224,1
1241572816,255,0
1241573535,1225,1
1241573675,426,0
1241574463,1230,1
1241574855,1232,1
1241576096,1265,1
1241576351,24,0
1241576757,166,0
1241577127,1276,1
1241577975,1278,1
1241578145,265,0
1241578389,245,0
1241579314,1279,1
1241580284,1284,1
1241580345,269,0
1241580832,7975,0
1241581108,1290,1
1241582002,1296,1
1241582815,1298,1
1241583777,1305,1
1241584962,1306,1
1241586229,1310,1
1241586777,1314,1
1241587839,1321,1
1241588603,183,0
1241589383,1329,1
1241590889,1331,1
1241591730,1332,1
1241592984,1333,1
1241592869,188,0
1241593795,1350,1
1241594594,1351,1
1241595336,520,0
1241595357,521,0
1241595634,1359,1
1241596868,1360,1
1241597191,1362,1
1241597330,292,0
1241598550,197,0
1241599527,1373,1
1241600023,1376,1
1241600500,1381,1
1241601372,1383,1
1241602564,1387,1
1241603972,1388,1
1241605307,1394,1
1241605751,1404,1
1241606477,1414,1
1241607162,472,0
1241607349,1421,1
1241608578,1425,1
1241609215,1427,1
1241610423,1436,1
1241610366,541,0
1241610558,213,0
1241611251,1456,1
1241611916,1466,1
1241612488,1469,1
1241613860,1474,1
1241613857,314,0
1241614984,1475,1
1241615184,220,0
1241615938,1476,1
1241616580,1478,1
1241617369,1479,1
1241617338,489,0
1241617343,321,0
1241618640,1481,1
1241619483,227,0
1241619844,1484,1
1241620784,1487,1
1241621644,1495,1
1241622451,306,0
1241622898,1497,1
1241624025,1504,1
1241624687,1516,1
1241625461,564,0
1241625943,565,0
1241626171,1523,1
1241626241,567,0
1241626467,314,0
1241627327,1530,1
1241627353,337,0
1241627420,101,0
1241628306,1540,1
1241628816,1544,1
1241628896,104,0
1241629995,1558,1
1241630485,1563,1
1241630575,248,0
1241631049,1564,1
1241630944,579,0
1241632521,1565,1
1241632995,1567,1
1241633568,1568,1
1241634893,1570,1
1241636007,1577,1
1241637040,1580,1
1241637758,1581,1
1241638158,258,0
1241638992,1585,1
1241639420,1587,1
1241639930,1589,1
1241640272,1591,1
1241641309,1593,1
1241641817,1597,1
1241642965,1598,1
1241644449,1610,1
1241645406,342,0
1241645938,1620,1
1241645863,128,0
1241646012,365,0
1241646614,1621,1
1241647485,347,0
1241647826,368,0
1241648044,1632,1
1241648180,275,0
1241648761,1634,1
1241649597,1638,1
1241651020,1641,1
1241651456,1642,1
1241652565,355,0
1241653063,356,0
1241654029,1650,1
1241653979,283,0
1241654215,284,0
1241654514,550,0
1241655413,1659,1
1241655822,1662,1
1241656074,363,0
1241656308,1675,1
1241656748,365,0
1241657842,1679,1
1241658605,1695,1
1241659126,1700,1
1241660050,1702,1
1241659907,370,0
1241661618,1710,1
1241662766,297,0
1241663123,1712,1
1241664230,1722,1
1241665127,1724,1
1241665546,1725,1
1241666599,395,0
1241666744,1726,1
1241668067,1727,1
1241668481,6010,0
1241669514,1730,1
1241670730,1731,1
1241671135,401,0
1241672176,1737,1
1241673224,1738,1
1241674585,1739,1
1241675892,1740,1
1241676031,313,0
1241676304,1741,1
1241676603,315,0
1241677762,1743,1
1241678592,1745,1
1241679264,1746,1
1241679968,1749,1
1241680015,413,0
1241681167,1756,1
1241682110,1760,1
1241682112,6028,0
1241683434,1769,1
1241684111,653,0
1241684882,1770,1
1241686363,1778,1
1241686883,1782,1
1241687779,1787,1
1241689060,1792,1
1241689856,1798,1
1241690138,425,0
1241690984,1802,1
1241691314,8135,0
1241692267,1807,1
1241692363,411,0
1241692522,337,0
1241693386,1810,1
1241694321,1815,1
1241694563,340,0
1241695640,1823,1
1241697007,1824,1
1241698031,1832,1
1241699403,1835,1
1241700136,610,0
1241700804,1838,1
1241701537,1839,1
1241702188,8149,0
1241702643,1847,1
1241703064,425,0
1241704074,1851,1
1241705386,1859,1
1241706343,353,0
1241706764,1860,1
1241707535,1861,1
1241709056,1876,1
1241710513,1893,1
1241711008,451,0
1241711422,1898,1
1241711808,1905,1
1241712061,436,0
1241712662,1910,1
1241713120,438,0
1241713397,457,0
1241713924,1917,1
1241714650,1924,1
1241715069,367,0
1241716112,1931,1
1241716315,634,0
1241716858,1933,1
1241717233,446,0
1241717555,1934,1
1241719152,1950,1
1241719823,1953,1
1241720782,1957,1
1241721292,1969,1
1241722087,377,0
1241722442,1970,1
1241723845,1994,1
1241724430,2000,1
1241725171,2002,1
1241726571,2009,1
1241727355,2010,1
1241728102,2014,1
1241728273,460,0
1241728741,461,0
1241729146,2024,1
1241729632,2029,1
1241729854,6094,0
1241731048,2036,1
1241731660,2037,1
1241733222,2045,1
1241734052,2046,1
1241735174,2051,1
1241735113,660,0
1241735618,489,0
1241736606,2054,1
1241736749,398,0
1241737119,2055,1
1241738005,2073,1
1241739150,2082,1
1241739825,8203,0
1241740226,8204,0
1241740443,2085,1
1241740737,498,0
1241740620,671,0
1241741351,2086,1
1241742433,673,0
1241743371,2104,1
1241744307,2105,1
1241744910,2109,1
1241745711,2118,1
1241746940,2121,1
1241748051,2122,1
1241748117,53,0
1241748661,2124,1
1241749801,2126,1
1241750293,8219,0
1241750348,2133,1
1241750218,734,0
1241751560,2135,1
1241752532,2142,1
1241752422,423,0
1241753156,2145,1
1241754578,2148,1
1241755316,2149,1
1241755767,2150,1
1241757070,2151,1
1241757134,694,0
1241758364,2158,1
1241758782,506,0
1241759722,2160,1
1241760068,2164,1
1241761588,2174,1
1241762692,2182,1
1241762844,436,0
1241763491,2191,1
1241764416,2205,1
1241765056,532,0
1241765891,2206,1
1241766610,2212,1
1241768013,2215,1
