date_iso,timestamp_utc,price,block_height,days_ago,daily_dca_basis,weekly_dca_basis,monthly_dca_basis
2024-10-02,2024-10-02 23:50:00+00:00,60649.1868950116,863876,605,89728.5134041557,89145.0380986769,87587.6863462147
2024-10-03,2024-10-03 23:50:00+00:00,60740.5122693724,864033,604,89799.7983434070,89145.0380986769,87587.6863462147
2024-10-04,2024-10-04 23:50:00+00:00,62104.6742803113,864204,603,89871.1015798627,89510.7570965417,87587.6863462147
2024-10-05,2024-10-05 23:50:00+00:00,62075.3438501407,864354,602,89937.8962712990,89510.7570965417,87587.6863462147
2024-10-06,2024-10-06 23:50:00+00:00,62824.6236895588,864505,601,90005.1156489047,89510.7570965417,87587.6863462147
2024-10-07,2024-10-07 23:50:00+00:00,62306.8746342290,864661,600,90070.0622802257,89510.7570965417,87587.6863462147
2024-10-08,2024-10-08 23:50:00+00:00,62184.5941290960,864828,599,90137.1140411367,89510.7570965417,87587.6863462147
2024-10-09,2024-10-09 23:50:00+00:00,60591.1857899384,864955,598,90204.9198970801,89510.7570965417,87587.6863462147
2024-10-10,2024-10-10 23:50:00+00:00,60232.8258629853,865110,597,90278.8285530604,89510.7570965417,87587.6863462147
2024-10-11,2024-10-11 23:50:00+00:00,62401.4271592908,865251,596,90354.4520506596,89972.4292420447,87587.6863462147
2024-10-12,2024-10-12 23:50:00+00:00,63185.4026459960,865393,595,90422.5280410086,89972.4292420447,87587.6863462147
2024-10-13,2024-10-13 23:50:00+00:00,62799.2082591529,865531,594,90488.1954673204,89972.4292420447,87587.6863462147
2024-10-14,2024-10-14 23:50:00+00:00,66058.7589660405,865670,593,90555.5261731603,89972.4292420447,87587.6863462147
2024-10-15,2024-10-15 23:50:00+00:00,67025.2027530298,865827,592,90612.2863508985,89972.4292420447,87587.6863462147
2024-10-16,2024-10-16 23:50:00+00:00,67642.1517476881,865968,591,90666.2739976300,89972.4292420447,87587.6863462147
2024-10-17,2024-10-17 23:50:00+00:00,67316.2632891637,866125,590,90718.6111451837,89972.4292420447,87587.6863462147
2024-10-18,2024-10-18 23:50:00+00:00,68446.8400345143,866260,589,90772.1879659448,90442.5526920168,87587.6863462147
2024-10-19,2024-10-19 23:50:00+00:00,68369.9047054396,866433,588,90822.5683281853,90442.5526920168,87587.6863462147
2024-10-20,2024-10-20 23:50:00+00:00,68937.6077371636,866606,587,90873.4078678024,90442.5526920168,87587.6863462147
2024-10-21,2024-10-21 23:50:00+00:00,67409.9601932469,866776,586,90922.7789170019,90442.5526920168,87587.6863462147
2024-10-22,2024-10-22 23:50:00+00:00,67346.7340607424,866916,585,90977.0235134715,90442.5526920168,87587.6863462147
2024-10-23,2024-10-23 23:50:00+00:00,66678.7070632781,867067,584,91031.7165942161,90442.5526920168,87587.6863462147
