Index,Address,Type,Status,Value,Balance,Create Block,Redeem Block,Create Time,Redeem Time
16764,1CasUydf3hYoohFFKUb885DWJwxYGXsGkP,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,163682,935063,1327429979,1770259522
17323,1CAxqezMHPt5bVe2LCGCBYLAADnhruBqRU,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,163682,935063,1327429979,1770259522
49647,1Ag4vEjeggQFpApthCdCnRPMWHuUQtok7F,S3-COIN-1-AG,Redeemed,1.00000000,0E-8,268705,934966,1384020059,1770196054
49498,1Ag48oS3382VQcPsZr2gVgx3hUEYV5Efat,S3-COIN-1-AG,Redeemed,1.00000000,0E-8,268705,934961,1384020059,1770194673
14906,1CaBpHPxeQB1KTqTUBVG3YcoKAgASTPWg1,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,163682,934870,1327429979,1770142265
15417,1CaFXXWRTG4Wwo5FUHTVMUcjUdj8HbBhzp,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,163682,934869,1327429979,1770142170
16512,1CaQWo4FPsQCfSh2fAxbkraVo7Kjqkz5bb,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,163682,934868,1327429979,1770140876
17295,1CaXHudzEmD4kcjTShMwHymrz2ErajEMn6,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,163682,934868,1327429979,1770140876
12726,1AghCQKiQMQScKvqrA5oeQ3XA3Cm4zK5vN,S3-COIN-1-AG,Redeemed,1.00000000,0E-8,250630,934758,1375838062,1770061663
29149,121M6g9cmBJhFUm95GiNJdQbDbME8V21tY,S2-COIN-0.5,Redeemed,0.50000000,0E-8,370434,934751,1439921367,1770059046
24459,1CsyUNRZJjG97KiCnrudFg1ws2S9dqgnWa,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,210401,934736,1354345989,1770047894
15197,1CaDYBz931uyCQGDyjSn7t9pjgKScfs8jP,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,163682,934706,1327429979,1770020847
16929,1CaUFewaDQVcS1DzKjzftbsXioEHqePhic,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,163682,934706,1327429979,1770020847
15824,1CAjRnjHePW6GMoP6e6iz5dT5Mm2SyvG8Z,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,163682,934705,1327429979,1770019972
16976,1CAUqmZWJ5WEqVAhy9yrcF6jHbY3jMMVuq,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,163682,934705,1327429979,1770019972
17006,1CauXE51i1rFHH5nQQ3HN6XodfMid9xwQY,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,163682,934704,1327429979,1770019603
1516,15B9cp6AT8Tkaa2kwiPq59oNqsSVFAWJKN,S1-COIN-1,Redeemed,1.00000000,0E-8,152306,934645,1320705920,1769982060
40500,136FRuYDz8i5uATWnvq6tqrDDjgBnwndAt,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,229925,934634,1365235942,1769976389
17276,1CAXDFT9di7FKcYPZVETFX184YEoa53ZkJ,S2-COIN-1-2012,Redeemed,1.00000000,0.00999700,167452,934630,1329622453,1769972690
23361,1CspGqcBLJDAw6Aj5wktYJx9BcbcLpD1WH,S2-COIN-1-2012,Redeemed,1.00000000,0E-8,212529,934557,1355757190,1769917603
39836,1348YKC1hNyp322BA3Kpji6sF3X3EZk4Jg,S2-COIN-1-2013,Redeemed,1.00000000,0E-8,227362,934557,1363950498,1769917603
29456,122LDPC1ZbVmWNnVXhypCnFDf9U16YA3Ev,S2-COIN-0.5,Redeemed,0.50000000,0E-8,230649,934551,1365599963,1769912554
56393,1AgbkXKGAkJtXmPEJih4mQ55cqnsfp2for,S3-COIN-0.5-AG,Redeemed,0.50000000,0E-8,254609,934494,1377668812,1769873371
56390,1AgbKk3qkBzdsan6F5Qrn2J4Ccu1gQdnHt,S3-COIN-0.5-AG,Redeemed,0.50000000,0E-8,254609,934492,1377668812,1769872606
56466,1Agbvobq461G523HzLXYgMB4SbLxvMixJa,S3-COIN-0.5-AG,Redeemed,0.50000000,0E-8,254609,934492,1377668812,1769872606
56489,1AgbyVKfHBQu6Hqeo9GDKHf4HcUQzZh3gv,S3-COIN-0.5-AG,Redeemed,0.50000000,2E-8,254609,934492,1377668812,1769872606
49432,1Ag3wLfPmEZfKBE6vJG6nv6hTnHSGf6J7y,S3-COIN-1-AG,Redeemed,1.00000000,0E-8,266811,934378,1383102702,1769803755
6132,1EtUDB3NkiViSdbTYwZFPfzuv11U3xfrgC,S1-COIN-1,Redeemed,1.00000000,0E-8,201415,934374,1349114760,1769802123
61400,1AgzE2SAmvKxjpeAk4wq9fSxEA4EHuJub8,S3-COIN-0.1-AG,Redeemed,0.10000000,0E-8,260165,933980,1380166204,1769524137
898,13UosQEmMCfzWjh4eQyCzojAhJZCYRA8EN,S1-COIN-1,Redeemed,1.00000000,0E-8,145972,933912,1316406716,1769470325
1253,14nCmq5D9scTWxFV1YEhpFfuRZNfAeTdp6,S1-COIN-1,Redeemed,1.00000000,0E-8,148324,933912,1317918619,1769470325
1235,14Md2gtKFYtmbhTHAgANwSauPFdMd99Tp4,S1-COIN-1,Redeemed,1.00000000,0E-8,147266,933907,1317226982,1769468880
